"Plot","Agroeca_brunnea","Ceratinella_scabrosa","Clubiona_comta","Diplocephalus_picinus","Diplostyla_concolor","Enoplopgnatha_thoracica","Eratigena_picta","Erigone_dentipalpis","Ero_furcata","Histopona_torpida","Leptorhoptrum_robustum","Linyphia_hortensis","Macrargus_rufus","Microneta_viaria","Monocephalus_fuscipes","Neriene_clathrata","Ozyptila_praticola","Ozyptila_trux","Palliduphantes_pallidus","Piratula_hygrophila","Tenuiphantes_flavipes","Tenuiphantes_zimmermanni","Walckenaeria_acuminata","Walckenaeria_cucullata","Dysdera_erythrinaÿ","Euryopis_flavomaculata","Hahnia_pusilla","Haplodrassus_silvestris","Pardosa_amentata","Pardosa_saltans","Agyneta_ramosa","Alopecosa_pulverulenta","Porrhomma_egeria","Saaristoa_abnormis","Trachyzelotes_pedestris","Walckenaeria_nudipalpis","Anyphaena_accentuata","Clubiona_terrestris","Inermocoelotes_inermis","Trochosa_terricola","Ballus_chalybeius","Robertus_lividus","Neriene_montana","Zora_Spinimana","Metellina_segmentata","Micrargus_herbigradus","xysticus_lanio","Centromerus_brevipalpus","Gongylidium_rufipes","Pachygnatha_listeriÿ","Bathyphantes_gracilis","Gongylidiellum_latebricola","Oedothorax_fuscus","Walckenaeria_atrotibialis","Iberina_montana","Tenuiphantes_tenuis","Zelotes_apricorum","Erigone_atra","Oedothorax_retusus","Pachygnatha_degeeri","Philodromus_rufus","Walckenaeria_obtusa","Tiso_vagans","Gonatium_rubellum","Cicurina_cicur","Pardosa_proxima","Coelotes_terrestris","Mermessus_trilobata","Walckenaeria_furcillata","Phrurolithus_festivus","Maso_sundevalli","Philodromus_disparÿ","Walckenaeria_dysderoides","Lathys_humilis","Saloca_diceros","Centromerus_sylvaticus","Philodromus_aureolus","Tenuiphantes_cristatus","Pardosa_pullata","Pocadicnemis_pumila","Nigma_flavescens","Apostenus_fuscus","Porrhomma_pygmaeum","Metellina_mengei","Hahnia_helveola","Trochosa_ruricola","Neon_reticulatus","Walckenaeria_mitrata"
1,2,1,2,36,5,1,3,1,1,3,1,2,4,3,1,2,10,14,1,27,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,1,0,0,1,5,0,6,0,0,1,6,0,2,0,0,0,18,4,0,0,0,1,8,12,11,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,2,2,2,2,0,0,3,0,0,0,6,0,0,1,8,0,68,5,0,0,0,3,1,25,9,9,12,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,0,1,0,0,0,0,0,2,0,0,4,3,0,1,0,0,1,16,8,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,8,0,0,4,0,0,4,3,0,0,1,1,0,57,2,0,2,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,2,0,1,3,0,0,3,0,0,4,8,0,0,4,2,0,12,4,0,1,1,0,0,6,15,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,11,2,0,2,0,0,4,0,1,0,3,0,0,0,0,2,97,10,0,0,0,1,4,7,14,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,1,0,0,1,0,1,8,0,0,4,1,0,0,0,0,4,16,0,4,0,0,0,0,4,8,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,1,1,0,1,0,0,4,0,0,6,2,0,0,0,0,0,125,1,0,0,0,0,2,3,9,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,3,0,0,1,7,0,0,1,0,4,22,1,0,0,0,0,1,6,6,0,19,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,8,1,0,1,0,0,2,0,0,4,4,0,0,0,0,1,18,7,0,0,2,0,0,0,9,1,18,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,0,0,1,0,0,2,1,0,32,0,0,1,3,0,0,0,0,0,33,1,0,0,0,0,0,0,18,0,6,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,1,0,6,0,0,6,0,0,15,0,0,1,9,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,0,0,9,2,0,0,0,0,10,0,0,2,20,0,0,0,0,0,44,3,0,0,0,0,0,2,11,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,3,0,0,4,0,0,16,0,0,5,3,0,3,0,0,1,2,9,0,0,1,0,0,1,12,0,20,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,29,0,0,2,0,0,8,0,0,1,9,0,1,1,0,2,12,5,0,0,1,0,1,0,15,0,124,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,3,0,4,0,0,6,0,0,19,0,0,1,8,0,1,0,21,0,322,1,0,0,1,0,6,0,11,0,9,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,1,0,29,2,0,4,0,0,8,0,0,1,18,0,0,12,33,1,342,2,2,0,0,1,0,2,1,0,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,2,0,5,3,0,1,0,0,10,0,0,9,12,0,1,0,1,0,290,4,0,0,0,0,0,1,2,0,3,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,10,0,0,3,0,0,0,0,0,1,2,0,0,12,20,0,57,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1,0,2,0,0,0,1,0,2,0,1,0,5,0,0,0,0,0,2,4,0,0,0,0,0,0,14,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,3,0,0,1,1,0,6,0,0,1,4,0,0,1,0,1,2,21,0,0,0,0,0,1,4,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,8,0,0,2,2,0,0,0,1,3,8,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0,0,6,0,0,0,0,0,2,0,1,1,5,0,2,0,0,2,3,10,0,0,0,1,0,0,7,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,0,0,1,1,0,0,0,0,2,0,0,1,3,0,0,0,12,0,146,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,1,0,3,0,0,1,1,0,0,0,0,2,8,1,0,0,0,5,0,12,1,0,0,1,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,6,1,36,0,0,3,1,0,0,0,0,1,8,5,0,31,3,4,0,3,6,2,0,1,0,4,0,0,0,6,0,0,0,1,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,0,1,25,0,0,0,0,0,2,0,1,0,1,3,0,3,37,0,0,12,5,1,0,3,0,9,2,0,0,18,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,0,0,4,0,0,1,0,0,2,0,0,6,1,0,0,4,0,1,1,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,7,0,15,3,0,2,0,0,0,0,0,1,3,0,0,9,1,4,4,1,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31,1,5,0,16,14,0,0,0,0,0,0,0,1,4,1,1,4,5,0,437,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,3,0,0,51,6,0,0,1,0,0,0,0,1,14,0,2,5,0,4,18,13,1,0,1,0,5,0,11,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,0,0,0,4,1,0,0,0,0,0,0,0,0,7,0,0,0,0,4,3,32,0,0,0,0,1,3,19,0,2,0,1,1,4,1,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,1,0,50,11,0,0,0,0,0,0,0,0,8,0,0,3,7,1,197,7,0,0,0,0,10,3,3,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,0,0,0,29,0,0,0,0,0,0,0,0,0,5,2,0,8,22,0,168,19,0,1,0,0,1,9,6,1,12,3,0,0,0,0,1,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,6,0,11,0,0,0,0,0,1,0,0,1,2,0,0,0,0,10,12,43,0,0,0,0,5,4,13,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,1,2,0,5,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,89,11,0,1,0,0,4,8,12,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,2,4,0,1,0,0,12,0,0,0,0,0,0,11,3,0,192,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
39,0,1,0,14,0,0,2,0,1,6,0,0,2,4,0,0,0,1,2,9,17,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
40,0,1,0,6,7,0,1,0,0,3,0,0,1,7,0,1,1,0,2,7,6,0,1,0,2,1,6,15,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
41,0,0,0,15,1,0,0,0,0,1,0,0,0,6,0,1,0,0,1,4,24,0,0,0,1,0,3,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
42,1,0,0,7,0,6,0,0,0,5,0,0,8,2,0,0,1,1,0,0,7,0,0,0,0,0,7,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
43,2,8,2,12,0,0,7,0,0,5,0,1,2,4,1,1,3,6,1,54,5,0,1,0,2,0,2,0,3,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0
44,1,0,0,7,0,1,2,0,0,6,0,0,6,4,0,0,2,0,0,9,6,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
45,2,1,0,3,3,0,1,0,0,0,0,0,0,8,0,0,0,1,1,8,52,0,0,0,0,0,16,30,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,4,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,3,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,2,0,4,0,0,7,0,0,0,0,0,0,1,0,0,16,19,0,62,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,1,2,0,0,0,10,0,0,0,0,0,3,1,0,0,7,23,1,8,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
49,6,2,0,53,0,0,2,0,0,3,0,0,4,2,1,0,14,7,0,130,3,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,9,0,0,8,0,0,1,0,0,1,0,0,3,1,0,0,10,11,1,100,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,0,0,21,0,0,0,0,0,3,0,0,2,3,0,0,6,7,2,226,2,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,2,0,22,3,2,0,1,0,0,0,2,1,3,0,1,8,26,0,66,2,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,1,5,0,9,0,0,0,1,0,0,0,0,1,1,0,0,14,3,2,5,1,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
